ture,toa,pred,aod,class,inf
0.311445,0.28092,0.34363222,-0.0148579,12.0,0.311445
0.2399725,0.21888,0.2720298,0.20527683,12.0,0.2399725
0.22669,0.20624,0.24669439,0.028266124,12.0,0.22669
0.27993,0.2532,0.30627418,0.026369011,10.0,0.27993
0.166685,0.15404,0.18569328,0.0053283265,12.0,0.166685
0.3124625,0.28294,0.34663144,-0.006331611,12.0,0.3124625
0.21228,0.1933,0.23296677,-0.0004962723,10.0,0.21228
0.154255,0.1447,0.17214611,0.0048316442,12.0,0.154255
0.22493,0.20672,0.25046718,0.11616072,12.0,0.22493
0.126865,0.11874,0.13782425,-0.00328911,10.0,0.126865
0.20733,0.19084,0.22677146,-0.038008064,12.0,0.20733
0.259745,0.23512,0.28516853,0.14669314,12.0,0.259745
0.22229,0.20456,0.24912682,-0.028467903,12.0,0.22229
0.190335,0.17482,0.2107011,0.039709877,10.0,0.190335
0.1947075,0.1793,0.21468545,-0.022517568,10.0,0.1947075
0.2918925,0.26212,0.31874254,-0.008776746,11.0,0.2918925
0.2661525,0.23996,0.2894185,-0.053569965,12.0,0.2661525
0.1881625,0.1737,0.20697984,-0.04506713,12.0,0.1881625
0.19072,0.17344,0.2086148,0.014041011,9.0,0.19072
